Whats your name?,Chat
What's your favorite movie?,Chat
What's the weather like today?,Chat
What is your favorite type of music?,Chat
What did you do over the weekend?,Chat
What book are you reading right now?,Chat
What are your plans for the weekend?,Chat
Tell me a joke.,Chat
Order a pizza for me.,Task
Make my bed.,Task
It's a beautiful day today.,Chat
I've been watching a lot of movies.,Chat
I've been trying to exercise more.,Chat
I've been spending a lot of time with my friends.,Chat
I've been spending a lot of time with my family.,Chat
I've been spending a lot of time outdoors.,Chat
I've been listening to a lot of music lately.,Chat
I've been feeling really tired lately.,Chat
I've been doing a lot of reading.,Chat
I've been doing a lot of cooking.,Chat
I'm trying to spend less time on my phone.,Chat
I'm trying to learn a new language.,Chat
I'm trying to get more sleep.,Chat
I'm trying to eat healthier.,Chat
I'm trying to be more productive.,Chat
I'm trying to be more organized.,Chat
I'm really looking forward to the weekend.,Chat
I'm planning a trip for next month.,Chat
I started a new book recently.,Chat
I need you to send me the latest report.,Chat
I need you to pick up my dry cleaning.,Task
I need you to make a doctor's appointment for me.,Task
I need you to find a plumber.,Task
I need you to find a good gift for my friend's birthday.,Task
I need you to find a good book for me to read.,Task
I need you to do some grocery shopping.,Task
I need you to create a website for me.,Task
I need you to book a hotel for my trip.,Task
I had the most amazing day today. Guess what I got up to?,Chat
I had a really busy week at work.,Chat
How was your day?,Chat
How is your family doing?,Chat
How are you feeling today?,Chat
"Hey, hows it going your side?",Chat
Have you seen any good movies lately?,Chat
Have you been on vacation recently?,Chat
Find the nearest gas station.,Task
Do you know how old I am?,Chat
Do you have any plans for the holidays?,Chat
Did you watch the latest movie?,Chat
Did you try the new restaurant in town?,Chat
Did you see the latest news?,Chat
Can you play a song for me?,Chat
Can you pick me up from the airport?,Chat
Can you order some food for me?,Chat
Can you make a reservation for dinner?,Chat
Can you help me with my homework?,Chat
I need you to finish my maths homework for me,Task
Can you help me plan a surprise party?,Chat
Can you help me move this weekend?,Task
Can you help me find a good recipe for dinner?,Task
Can you get some data from YouTube?,Task
Can you book a skiing trip for me?,Task
Can you bake me a cake?,Task
Book a table for two at a nearby restaurant.,Task
Give me an idea of what you would say to that person.,Chat
Can you scrape a website for me?,Task
Scrape this website for me.,Task
Take out the trash.,Task
Answer my emails,Task
Archive my emails,Task
Can you answer my emails?,Task
Can you archive me emails?,Task
Would you mind to please be quiet?,Task
Can you be quiet please?,Task
Be quiet!,Task
"Shhhhh, no talking.",Task
I need you to be silent.,Task
"Wake up, its time to get going!",Task
"Wake up, I wanna see your beautiful face.",Task
"Wake up, I need a website scraped.",Task
"I need you get get up, Im tired of typing.",Task
Were there any customers who wanted refunds in my inbox today?,Task
Do you know where my slippers are?,Chat
Build me a landing page that has rabbits on it.,Task
Build me a website for fitness coaches that has happy faces.,Task
I need a web server that sells cushions,Task
What is the summary of this YT video?,Task
Summarize this YT video for me https://awebsite.com,Task
Scrape this website: https://awebsite.com,Task
What is the best way to code a flash loan smart contract?,Task
Write me some code for a flashloan smart contract.,Task
